SamplingEventID,PapaemClass,celltype.aml,n,prop
AML55-AML-1,AML-MR,Monocytes,465,0.09240858505564388
AML55-AML-1,AML-MR,Megakaryocytic cells,362,0.071939586645469
AML55-AML-1,AML-MR,Erythroid cells,957,0.19018282988871224
AML55-AML-1,AML-MR,Dendritic cells,79,0.01569952305246422
AML55-AML-1,AML-MR,NK-cells,465,0.09240858505564388
AML55-AML-1,AML-MR,T-cells,855,0.16991255961844198
AML55-AML-1,AML-MR,B-cells,287,0.05703497615262321
AML110-AML-1,AML-MR,AML Immature,207,0.0770375883885374
AML110-AML-1,AML-MR,HSC,11,0.00409378489021213
AML110-AML-1,AML-MR,LMPP,17,0.00632675846669147
AML110-AML-1,AML-MR,GMP,9,0.00334946036471901
AML110-AML-1,AML-MR,Monocytes,68,0.02530703386676591
AML110-AML-1,AML-MR,Megakaryocytic cells,15,0.00558243394119836
AML110-AML-1,AML-MR,Erythroid cells,2090,0.7778191291403052
AML110-AML-1,AML-MR,NK-cells,32,0.01190919240788984
AML110-AML-1,AML-MR,T-cells,158,0.05880163751395608
AML110-AML-1,AML-MR,B-cells,80,0.0297729810197246
AML111-AML-1,AML-MR,AML Immature,45,0.05717916137229987
AML111-AML-1,AML-MR,HSC,9,0.01143583227445997
AML111-AML-1,AML-MR,LMPP,1,0.00127064803049555
AML111-AML-1,AML-MR,GMP,1,0.00127064803049555
AML111-AML-1,AML-MR,Monocytes,12,0.01524777636594663
AML111-AML-1,AML-MR,Erythroid cells,658,0.8360864040660737
AML111-AML-1,AML-MR,Dendritic cells,5,0.00635324015247776
AML111-AML-1,AML-MR,NK-cells,12,0.01524777636594663
AML111-AML-1,AML-MR,T-cells,32,0.04066073697585769
AML111-AML-1,AML-MR,B-cells,12,0.01524777636594663
AML126-AML-1,AML-MR,AML Immature,2111,0.5174019607843138
AML126-AML-1,AML-MR,HSC,8,0.00196078431372549
AML126-AML-1,AML-MR,LMPP,56,0.01372549019607843
AML126-AML-1,AML-MR,GMP,217,0.05318627450980392
AML126-AML-1,AML-MR,Monocytes,155,0.03799019607843137
AML126-AML-1,AML-MR,Megakaryocytic cells,53,0.01299019607843137
AML126-AML-1,AML-MR,Erythroid cells,759,0.1860294117647059
AML126-AML-1,AML-MR,Dendritic cells,20,0.00490196078431372
AML126-AML-1,AML-MR,NK-cells,55,0.01348039215686274
AML126-AML-1,AML-MR,T-cells,554,0.1357843137254902
AML126-AML-1,AML-MR,B-cells,92,0.02254901960784313
AML138-AML-1,AML-MR,AML Immature,6311,0.913446229555652
AML138-AML-1,AML-MR,HSC,9,0.00130264871906209
AML138-AML-1,AML-MR,LMPP,20,0.00289477493124909
